mutation_type,category,count
CHANGE_CONSTANT,application_kernels,1
CHANGE_CLAUSE,parallel_master,1
CHANGE_CLAUSE,scope,1
CHANGE_CONDITION,parallel_for,1
CHANGE_CONDITION,taskloop,1
CHANGE_CONFIGURATION,application_kernels,1
CHANGE_CONFIGURATION,declare_mapper,1
CHANGE_CONFIGURATION,declare_target,1
CHANGE_MAPPING,scope,1
CHANGE_MAPPING,offloading_success.c,1
CHANGE_MAPPING,default,1
CHANGE_MAPPING,loop,1
CHANGE_MAPPING,map-type_modifier,1
CHANGE_MAPPING,master_taskloop,1
CHANGE_MAPPING,master_taskloop_simd,1
CHANGE_MAPPING,memory_routines,1
CHANGE_LOOP_BOUND,target,1
CHANGE_LOOP_BOUND,parallel_for,1
CHANGE_LOOP_BOUND,tile,1
CHANGE_LOOP_BOUND,taskwait,1
NEEDS_REVIEW,interop,1
NEEDS_REVIEW,offloading_success.c,1
NEEDS_REVIEW,parallel_master,1
NEEDS_REVIEW,declare_mapper,1
CHANGE_MAPPING,target_teams_distribute_parallel_for_simd,1
CHANGE_OPERATOR,declare_target,1
CHANGE_OPERATOR,requires,1
CHANGE_OPERATOR,application_kernels,1
CHANGE_OPERATOR,allocate,1
CHANGE_MAPPING,task,1
CHANGE_OPERATOR,target_enter_exit_data,1
NEEDS_REVIEW,parallel_master_taskloop_simd,1
CHANGE_OPERATOR,taskgroup,1
CHANGE_OPERATOR,target_simd,1
CHANGE_OPERATOR,teams_loop,1
CHANGE_OPERATOR,taskloop,1
CHANGE_SCAN,scan,1
CHANGE_VARIABLE,target,1
NEEDS_REVIEW,application_kernels,1
NEEDS_REVIEW,atomic,1
NEEDS_REVIEW,taskloop_simd,1
NEEDS_REVIEW,taskgraph,1
NEEDS_REVIEW,target_teams_distribute_parallel_for_simd,1
REMOVE_CONSTRUCT,masked,1
REMOVE_CONSTRUCT,runtime_calls,1
REMOVE_CONSTRUCT,loop,1
REMOVE_CONSTRUCT,dispatch,1
REMOVE_CLAUSE,target_teams_distribute_parallel_for,1
REMOVE_CLAUSE,masked,1
REMOVE_CLAUSE,declare_variant,1
ORACLE_MUTATION,runtime_calls,1
REMOVE_CONSTRUCT,order,1
REMOVE_CONSTRUCT,default,1
REMOVE_CONSTRUCT,declare_variant,1
REMOVE_CONSTRUCT,taskgraph,1
REMOVE_CONSTRUCT,target_enter_exit_data,1
REMOVE_SYNCHRONIZATION,allocate,1
REMOVE_STATEMENT,task,1
REMOVE_STATEMENT,target_teams_distribute,1
REMOVE_DEPENDENCY,taskloop_simd,1
REMOVE_DEPENDENCY,taskloop,1
REMOVE_DEPENDENCY,taskgroup,1
REMOVE_DEPENDENCY,taskgraph,1
REMOVE_DEPENDENCY,target,1
REMOVE_SYNCHRONIZATION,scope,1
REMOVE_SYNCHRONIZATION,parallel_for_simd,1
REMOVE_SYNCHRONIZATION,modifiers,1
REMOVE_SYNCHRONIZATION,dispatch,1
REMOVE_SYNCHRONIZATION,application_kernels,1
REMOVE_SYNCHRONIZATION,target_requires,1
REMOVE_SYNCHRONIZATION,target_teams_distribute_parallel_for_simd,1
REMOVE_SYNCHRONIZATION,taskgraph,1
