mutation_type,count
CHANGE_LOOP_BOUND,45
CHANGE_ASSIGNMENT,24
REMOVE_CONSTRUCT,22
REMOVE_CLAUSE,21
CHANGE_CLAUSE,20
CHANGE_OPERATOR,19
REMOVE_SYNCHRONIZATION,18
CHANGE_CONFIGURATION,12
REMOVE_DEPENDENCY,11
CHANGE_MAPPING,8
CHANGE_CONDITION,6
ORACLE_MUTATION,5
CHANGE_RUNTIME_CALL,4
CHANGE_CONSTANT,1
CHANGE_SCAN,1
REMOVE_STATEMENT,1
