_source_file,count
openmp_batch_131_150_optionA_full_multivariant.csv,42
openmp_batch_151_170_optionA_full_multivariant.csv,40
openmp_batch_111_130_optionA_full_multivariant.csv,32
openmp_batch_91_110_optionA_full_multivariant.csv,26
openmp_batch_71_90_optionA_full_multivariant.csv,22
openmp_batch_51_70_optionA.csv,17
HPC_BUGFIX_V2_1.xlsx,11
HPC_BUGFIX_V2_4.xlsx,9
HPC_BUGFIX_V2_2.xlsx,8
HPC_BUGFIX_V2_3.xlsx,6
HPC_BUGFIX_V2_5.xlsx,5
