omp_construct,count,percent
target_mapping,361,55.88235294117647
loop,103,15.944272445820433
taskloop,34,5.2631578947368425
atomic,24,3.7151702786377707
task,22,3.4055727554179565
runtime_api,11,1.7027863777089782
error,11,1.7027863777089782
scope,10,1.5479876160990713
default,7,1.08359133126935
teams,7,1.08359133126935
metadirective,7,1.08359133126935
application_kernels,6,0.9287925696594427
taskloop_simd,5,0.7739938080495357
masked,5,0.7739938080495357
ordered,4,0.6191950464396285
taskwait,4,0.6191950464396285
depend,4,0.6191950464396285
dispatch,3,0.46439628482972134
declare_variant,3,0.46439628482972134
fuse,2,0.30959752321981426
allocator,2,0.30959752321981426
parallel_master_taskloop_simd,2,0.30959752321981426
offloading_success.c,2,0.30959752321981426
parallel_for,2,0.30959752321981426
parallel_master,1,0.15479876160990713
declare_mapper,1,0.15479876160990713
taskgroup,1,0.15479876160990713
parallel_master_taskloop,1,0.15479876160990713
parallel,1,0.15479876160990713
