category,count,percent
target,90,13.93188854489164
target_teams_distribute,82,12.693498452012383
target_teams_distribute_parallel_for,40,6.191950464396285
loop,40,6.191950464396285
declare_target,32,4.953560371517028
target_data,28,4.3343653250774
task,21,3.2507739938080493
taskloop,18,2.7863777089783284
target_enter_data,17,2.6315789473684212
atomic,17,2.6315789473684212
target_simd,16,2.476780185758514
assume,16,2.476780185758514
order,14,2.1671826625387
target_enter_exit_data,14,2.1671826625387
target_parallel_loop,13,2.0123839009287927
target_update,13,2.0123839009287927
teams_loop,13,2.0123839009287927
requires,13,2.0123839009287927
application_kernels,12,1.8575851393188854
error,10,1.5479876160990713
scope,10,1.5479876160990713
loop_reduction,9,1.3931888544891642
allocate,8,1.238390092879257
default,8,1.238390092879257
metadirective,6,0.9287925696594427
teams,6,0.9287925696594427
depend,6,0.9287925696594427
program_control,6,0.9287925696594427
runtime_calls,6,0.9287925696594427
taskgraph,5,0.7739938080495357
target_requires,5,0.7739938080495357
masked,5,0.7739938080495357
dispatch,4,0.6191950464396285
master_taskloop,4,0.6191950464396285
fuse,4,0.6191950464396285
taskwait,4,0.6191950464396285
ordered,4,0.6191950464396285
master_taskloop_simd,4,0.6191950464396285
declare_variant,3,0.46439628482972134
target_teams_distribute_parallel_for_simd,3,0.46439628482972134
parallel_master_taskloop_simd,3,0.46439628482972134
parallel_master_taskloop,2,0.30959752321981426
parallel_master,2,0.30959752321981426
taskloop_simd,2,0.30959752321981426
parallel_for,2,0.30959752321981426
taskgroup,2,0.30959752321981426
offloading_success.c,2,0.30959752321981426
memory_routines,1,0.15479876160990713
parallel_for_simd,1,0.15479876160990713
