bug_family,count,percent
loop_body,237,36.68730650154799
target_mapping,105,16.25386996904025
reduction,49,7.585139318885449
loop_bounds,36,5.572755417956657
synchronization,31,4.798761609907121
data_sharing,19,2.9411764705882355
mapping,19,2.9411764705882355
condition,16,2.476780185758514
runtime_api,15,2.321981424148607
target_update,12,1.8575851393188854
task_dependency,9,1.3931888544891642
reduction_operator,9,1.3931888544891642
atomic_compare,8,1.238390092879257
condition_semantics,8,1.238390092879257
requires,6,0.9287925696594427
oracle_value,5,0.7739938080495357
configuration,5,0.7739938080495357
ordered_doacross,4,0.6191950464396285
taskloop,4,0.6191950464396285
loop_binding,4,0.6191950464396285
loop_bind,3,0.46439628482972134
data_scoping,3,0.46439628482972134
runtime_query,3,0.46439628482972134
declare_target,3,0.46439628482972134
masked_semantics,3,0.46439628482972134
runtime_call,3,0.46439628482972134
directive_semantics,3,0.46439628482972134
variant_semantics,2,0.30959752321981426
teams_configuration,2,0.30959752321981426
variant_selection,2,0.30959752321981426
schedule,2,0.30959752321981426
linear,2,0.30959752321981426
parallel_master,1,0.15479876160990713
lastprivate_semantics,1,0.15479876160990713
allocator_semantics,1,0.15479876160990713
memory_initialization,1,0.15479876160990713
loop_collapse,1,0.15479876160990713
target_configuration,1,0.15479876160990713
oracle_sensitive_body,1,0.15479876160990713
loop_header_semantics,1,0.15479876160990713
reduction_semantics,1,0.15479876160990713
task_sync,1,0.15479876160990713
task_semantics,1,0.15479876160990713
dispatch,1,0.15479876160990713
loop_construct,1,0.15479876160990713
dependency,1,0.15479876160990713
