source_id,num_bugs,num_mutation_types,categories,mutation_types
tests/4.5/target_update/test_target_update_to.c,3,3,target_update,"CHANGE_ASSIGNMENT, CHANGE_CONSTANT, CHANGE_MAPPING"
tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_defaultmap.c,3,2,target_teams_distribute_parallel_for,"CHANGE_CONSTANT, CHANGE_MAPPING"
tests/4.5/target_teams_distribute/test_target_teams_distribute_lastprivate.c,3,2,target_teams_distribute,"CHANGE_OPERATOR, REMOVE_CLAUSE"
tests/5.0/target/test_target_defaultmap_to_from_tofrom.c,3,1,target,CHANGE_MAPPING
tests/4.5/target/test_target_defaultmap.c,3,2,target,"CHANGE_CONSTANT, CHANGE_MAPPING"
tests/4.5/target/test_target_if.c,3,3,target,"CHANGE_CONDITION, CHANGE_MAPPING, CHANGE_OPERATOR"
tests/5.0/target/test_target_defaultmap_default.c,3,2,target,"CHANGE_CONSTANT, CHANGE_MAPPING"
tests/5.0/loop/test_loop_reduction_bitor_device.c,3,3,loop,"CHANGE_ASSIGNMENT, CHANGE_OPERATOR, REMOVE_CLAUSE"
tests/5.0/program_control/test_omp_target_offload_env_DEFAULT.c,3,3,program_control,"CHANGE_CONFIGURATION, CHANGE_CONSTANT, CHANGE_MAPPING"
tests/5.0/program_control/test_omp_get_device_num.c,3,3,program_control,"CHANGE_ASSIGNMENT, CHANGE_MAPPING, CHANGE_RUNTIME_CALL"
tests/5.0/loop/test_loop_bind_device.c,3,2,loop,"CHANGE_ASSIGNMENT, CHANGE_CLAUSE"
tests/5.0/atomic/test_atomic_num_hint_device.c,3,3,atomic,"CHANGE_ASSIGNMENT, CHANGE_CONFIGURATION, REMOVE_SYNCHRONIZATION"
tests/5.0/declare_target/test_nested_declare_target.c,3,3,declare_target,"CHANGE_CONSTANT, CHANGE_MAPPING, REMOVE_CONSTRUCT"
tests/5.0/declare_variant/test_declare_variant.c,3,2,declare_variant,"CHANGE_CONDITION, CHANGE_MAPPING"
tests/5.0/master_taskloop/test_master_taskloop_device.c,3,3,master_taskloop,"CHANGE_ASSIGNMENT, CHANGE_MAPPING, REMOVE_CONSTRUCT"
tests/5.0/master_taskloop_simd/test_master_taskloop_simd_device.c,3,3,master_taskloop_simd,"CHANGE_ASSIGNMENT, CHANGE_MAPPING, REMOVE_CONSTRUCT"
tests/5.0/loop/test_loop_reduction_max_device.c,3,3,loop,"CHANGE_ASSIGNMENT, CHANGE_OPERATOR, REMOVE_CLAUSE"
tests/5.0/loop/test_loop_reduction_min_device.c,3,3,loop,"CHANGE_ASSIGNMENT, CHANGE_OPERATOR, REMOVE_CLAUSE"
tests/5.1/atomic/test_atomic_compare_device.c,3,3,atomic,"CHANGE_CONFIGURATION, CHANGE_OPERATOR, REMOVE_SYNCHRONIZATION"
tests/5.1/atomic/test_atomic_compare.c,3,2,atomic,"CHANGE_OPERATOR, REMOVE_SYNCHRONIZATION"
tests/4.5/target/test_target_map_global_arrays.c,3,3,target,"CHANGE_CONFIGURATION, CHANGE_LOOP_BOUND, CHANGE_MAPPING"
tests/4.5/target/test_target_map_array_default.c,3,3,target,"CHANGE_ASSIGNMENT, CHANGE_MAPPING, CHANGE_OPERATOR"
tests/5.2/runtime_calls/test_omp_in_explicit_task.c,3,2,runtime_calls,"CHANGE_RUNTIME_CALL, REMOVE_CONSTRUCT"
tests/5.2/target_enter_data/test_target_enter_data_map.c,3,2,target_enter_data,"CHANGE_CONSTANT, CHANGE_MAPPING"
